cift,pasife_alinacak_listing_id,sira,korunan_listing_id,korunan_edisyon,islem,pin,edisyon
Gemini + Gemini,4556460881,2,4553836190,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Gemini,4555145806,3,4553836190,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Gemini,4555416851,4,4553836190,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Leo,4553836780,1,4552568677,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Leo,4555417105,2,4552568677,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Leo,4556461065,3,4552568677,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Leo,4555146464,4,4552568677,Champagne Ivory,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Libra,4552568817,1,4553837378,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Libra,4555417297,2,4553837378,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Libra,4556461249,3,4553837378,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Libra,4555134033,4,4553837378,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Gemini + Pisces,4556476348,1,4555417539,Deep Black,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
